1	5	1970 Napa Ct.	Bothell	98011
2	5	9833 Mt. Dias Blv.	Bothell	98011
3	5	7484 Roundtree Drive	Bothell	98011
4	5	9539 Glenside Dr	Bothell	98011
5	5	1226 Shoe St.	Bothell	98011
6	5	1399 Firestone Drive	Bothell	98011
7	5	5672 Hale Dr.	Bothell	98011
8	5	6387 Scenic Avenue	Bothell	98011
9	5	8713 Yosemite Ct.	Bothell	98011
10	5	250 Race Court	Bothell	98011
11	5	1318 Lasalle Street	Bothell	98011
12	5	5415 San Gabriel Dr.	Bothell	98011
13	5	9265 La Paz	Bothell	98011
14	5	8157 W. Book	Bothell	98011
15	5	4912 La Vuelta	Bothell	98011
16	5	40 Ellis St.	Bothell	98011
17	5	6696 Anchor Drive	Bothell	98011
18	5	1873 Lion Circle	Bothell	98011
19	5	3148 Rose Street	Bothell	98011
20	5	6872 Thornwood Dr.	Bothell	98011
21	5	5747 Shirley Drive	Bothell	98011
22	5	636 Vine Hill Way	Portland	97205
23	5	6657 Sand Pointe Lane	Seattle	98104
24	5	80 Sunview Terrace	Duluth	55802
25	5	9178 Jumping St.	Dallas	75201
26	5	5725 Glaze Drive	San Francisco	94109
27	5	2487 Riverside Drive	Nevada	84407
28	5	9228 Via Del Sol	Phoenix	85004
29	5	8291 Crossbow Way	Memphis	38103
30	5	9707 Coldwater Drive	Orlando	32804
31	6	9100 Sheppard Avenue North	Ottawa	K4B 1T7
32	6	26910 Indela Road	Montreal	H1Y 2H5
33	6	10203 Acorn Avenue	Calgary	T2P 2G8
34	7	94, rue Descartes	Bordeaux	33000
35	8	Pascalstr 951	Berlin	14111
36	9	34 Waterloo Road	Melbourne	3000
37	10	Downshire Way	Cambridge	BA5 3HX
38	5	8154 Via Mexico	Detroit	48226
39	5	3997 Via De Luna	Cambridge	02139
40	5	1902 Santa Cruz	Bothell	98011
41	5	793 Crawford Street	Kenmore	98028
42	5	463 H Stagecoach Rd.	Kenmore	98028
43	5	5203 Virginia Lane	Kenmore	98028
44	5	4095 Cooper Dr.	Kenmore	98028
45	5	6697 Ridge Park Drive	Kenmore	98028
46	5	5669 Ironwood Way	Kenmore	98028
47	5	8192 Seagull Court	Kenmore	98028
48	5	5553 Cash Avenue	Kenmore	98028
49	5	7048 Laurel	Kenmore	98028
50	5	25 95th Ave NE	Kenmore	98028
51	5	3280 Pheasant Circle	Snohomish	98296
52	5	4231 Spar Court	Snohomish	98296
53	5	1285 Greenbrier Street	Snohomish	98296
54	5	5724 Victory Lane	Snohomish	98296
55	5	591 Merriewood Drive	Snohomish	98296
56	5	3114 Notre Dame Ave.	Snohomish	98296
57	5	7230 Vine Maple Street	Snohomish	98296
58	5	2601 Cambridge Drive	Snohomish	98296
59	5	2115 Passing	Snohomish	98296
60	5	4852 Chaparral Court	Snohomish	98296
61	5	7726 Driftwood Drive	Monroe	98272
62	5	3841 Silver Oaks Place	Monroe	98272
63	5	9652 Los Angeles	Monroe	98272
64	5	4566 La Jolla	Monroe	98272
65	5	1356 Grove Way	Monroe	98272
66	5	4775 Kentucky Dr.	Monroe	98272
67	5	4734 Sycamore Court	Monroe	98272
68	5	896 Southdale	Monroe	98272
69	5	2275 Valley Blvd.	Monroe	98272
70	5	1792 Belmont Rd.	Monroe	98272
71	5	5734 Ashford Court	Monroe	98272
72	5	5030 Blue Ridge Dr.	Monroe	98272
73	5	158 Walnut Ave	Monroe	98272
74	5	8310 Ridge Circle	Monroe	98272
75	5	3747 W. Landing Avenue	Monroe	98272
76	5	2598 La Vista Circle	Duvall	98019
77	5	9693 Mellowood Street	Duvall	98019
78	5	1825 Corte Del Prado	Duvall	98019
79	5	5086 Nottingham Place	Duvall	98019
80	5	3977 Central Avenue	Duvall	98019
81	5	8209 Green View Court	Duvall	98019
82	5	8463 Vista Avenue	Duvall	98019
83	5	5379 Treasure Island Way	Duvall	98019
84	5	3421 Bouncing Road	Duvall	98019
85	5	991 Vista Verde	Duvall	98019
86	5	390 Ridgewood Ct.	Carnation	98014
87	5	1411 Ranch Drive	Carnation	98014
88	5	9666 Northridge Ct.	Carnation	98014
